No.,Date,H,S
1,2021-08-06,0,0
2,2021-08-24,0.62,2.728
3,2021-08-27,0.62,4.464
4,2021-08-31,0.62,5.084
5,2021-09-03,0.62,5.456
6,2021-09-07,0.62,6.324
7,2021-09-10,0.62,7.192
8,2021-09-14,0.62,7.192
9,2021-09-17,0.62,7.192
10,2021-09-21,0.62,7.564
11,2021-09-24,0.62,7.936
12,2021-10-05,1.488,8.68
13,2021-10-08,1.86,9.052
14,2021-10-12,1.86,9.796
15,2021-10-15,2.108,13.268
16,2021-10-19,2.108,18.104
17,2021-10-22,3.1,27.156
18,2021-10-26,3.224,29.264
19,2021-10-29,3.224,30.876
20,2021-11-03,3.224,34.224
21,2021-11-06,3.224,36.456
22,2021-11-10,3.224,37.2
23,2021-11-12,3.224,37.82
24,2021-11-20,3.224,38.068
25,2021-11-27,3.224,38.812
26,2021-12-04,3.596,42.16
27,2021-12-08,3.596,42.656
28,2021-12-11,3.596,42.904
29,2021-12-15,3.596,42.904
30,2021-12-18,3.596,43.152
31,2021-12-23,4.588,43.524
32,2021-12-29,4.588,44.392
33,2021-12-31,4.588,44.764
34,2022-01-06,4.588,45.88
35,2022-01-08,4.588,46.252
36,2022-01-11,4.588,46.748
37,2022-01-15,4.588,47.368
38,2022-01-18,4.588,47.74
39,2022-01-22,4.588,48.36
40,2022-01-26,4.588,48.856
41,2022-01-29,4.588,49.228
42,2022-02-01,4.588,49.476
43,2022-02-04,4.588,49.724
44,2022-02-16,4.588,50.592
45,2022-02-19,4.588,50.84
46,2022-02-23,4.588,51.336
47,2022-02-26,4.588,51.46
48,2022-03-04,4.588,51.832
49,2022-03-11,4.588,52.08
50,2022-03-15,4.588,52.328
51,2022-03-18,4.588,52.452
52,2022-03-25,4.588,52.7
53,2022-03-31,4.588,52.824
54,2022-04-07,4.588,52.948
55,2022-04-15,4.588,53.072
56,2022-04-22,4.588,53.196
57,2022-04-29,4.588,53.32
58,2022-05-04,4.588,53.32
59,2022-05-13,4.588,53.568
60,2022-05-17,4.588,53.568
61,2022-05-20,4.588,53.568
62,2022-05-23,4.588,53.568
63,2022-05-27,4.588,53.568
64,2022-05-30,4.588,53.568
