No.,Date,H,S
1,2021-08-06,0,0
2,2021-08-31,0.62,5.456
3,2021-09-03,0.62,5.952
4,2021-09-07,0.62,7.812
5,2021-09-10,0.62,8.804
6,2021-09-14,0.992,8.804
7,2021-09-17,0.992,8.804
8,2021-09-21,0.992,9.176
9,2021-09-24,0.992,9.176
10,2021-10-05,1.364,9.672
11,2021-10-08,1.86,10.044
12,2021-10-12,2.232,14.012
13,2021-10-15,2.48,18.476
14,2021-10-19,2.728,24.056
15,2021-10-22,2.728,27.156
16,2021-10-26,3.1,31
17,2021-10-29,3.1,34.348
18,2021-11-03,3.1,37.572
19,2021-11-06,3.1,39.308
20,2021-11-10,3.1,39.68
21,2021-11-12,3.1,39.68
22,2021-11-20,3.1,40.3
23,2021-11-27,3.1,40.92
24,2021-12-04,3.472,42.656
25,2021-12-08,3.472,42.656
26,2021-12-11,3.472,42.656
27,2021-12-15,3.472,43.152
28,2021-12-18,3.472,43.152
29,2021-12-23,3.472,43.152
30,2021-12-29,3.968,45.88
31,2021-12-31,3.968,46.252
32,2022-01-06,4.092,46.748
33,2022-01-08,4.092,47.12
34,2022-01-11,4.092,47.616
35,2022-01-15,4.092,47.988
36,2022-01-18,4.092,48.236
37,2022-01-22,4.092,48.608
38,2022-01-26,4.092,49.228
39,2022-01-29,4.092,49.6
40,2022-02-01,4.092,49.848
41,2022-02-04,4.092,50.096
42,2022-02-16,4.092,50.84
43,2022-02-19,4.092,50.964
44,2022-02-23,4.092,51.212
45,2022-02-26,4.092,51.336
46,2022-03-04,4.092,51.584
47,2022-03-11,4.092,51.832
48,2022-03-15,4.092,51.832
49,2022-03-18,4.092,52.08
50,2022-03-25,4.092,52.328
51,2022-03-31,4.092,52.328
52,2022-04-07,4.092,52.576
53,2022-04-15,4.092,52.7
54,2022-04-22,4.092,52.824
55,2022-04-29,4.092,52.948
56,2022-05-04,4.092,52.948
57,2022-05-13,4.092,52.948
58,2022-05-17,4.092,52.948
59,2022-05-20,4.092,52.948
60,2022-05-23,4.092,52.948
61,2022-05-27,4.092,52.948
62,2022-05-30,4.092,52.948
