Date,KOSPI
1/2/2020,2175.17
1/3/2020,2176.46
1/6/2020,2155.07
1/7/2020,2175.54
1/8/2020,2151.31
1/9/2020,2186.45
1/10/2020,2206.39
1/13/2020,2229.26
1/14/2020,2238.88
1/15/2020,2230.98
1/16/2020,2248.05
1/17/2020,2250.57
1/20/2020,2262.64
1/21/2020,2239.69
1/22/2020,2267.25
1/23/2020,2246.13
1/28/2020,2176.72
1/29/2020,2185.28
1/30/2020,2148
1/31/2020,2119.01
2/3/2020,2118.88
2/4/2020,2157.9
2/5/2020,2165.63
2/6/2020,2227.94
2/7/2020,2211.95
2/10/2020,2201.07
2/11/2020,2223.12
2/12/2020,2238.38
2/13/2020,2232.96
2/14/2020,2243.59
2/17/2020,2242.17
2/18/2020,2208.88
2/19/2020,2210.34
2/20/2020,2195.5
2/21/2020,2162.84
2/24/2020,2079.04
2/25/2020,2103.61
2/26/2020,2076.77
2/27/2020,2054.89
2/28/2020,1987.01
3/2/2020,2002.51
3/3/2020,2014.15
3/4/2020,2059.33
3/5/2020,2085.26
3/6/2020,2040.22
3/9/2020,1954.77
3/10/2020,1962.93
3/11/2020,1908.27
3/12/2020,1834.33
3/13/2020,1771.44
3/16/2020,1714.86
3/17/2020,1672.44
3/18/2020,1591.2
3/19/2020,1457.64
3/20/2020,1566.15
3/23/2020,1482.46
3/24/2020,1609.97
3/25/2020,1704.76
3/26/2020,1686.24
3/27/2020,1717.73
3/30/2020,1717.12
3/31/2020,1754.64
4/1/2020,1685.46
4/2/2020,1724.86
4/3/2020,1725.44
4/6/2020,1791.88
4/7/2020,1823.6
4/8/2020,1807.14
4/9/2020,1836.21
4/10/2020,1860.7
4/13/2020,1825.76
4/14/2020,1857.08
4/16/2020,1857.07
4/17/2020,1914.53
4/20/2020,1898.36
4/21/2020,1879.38
4/22/2020,1896.15
4/23/2020,1914.73
4/24/2020,1889.01
4/27/2020,1922.77
4/28/2020,1934.09
4/29/2020,1947.56
5/4/2020,1895.37
5/6/2020,1928.76
5/7/2020,1928.61
5/8/2020,1945.82
5/11/2020,1935.4
5/12/2020,1922.17
5/13/2020,1940.42
5/14/2020,1924.96
5/15/2020,1927.28
5/18/2020,1937.11
5/19/2020,1980.61
5/20/2020,1989.64
5/21/2020,1998.31
5/22/2020,1970.13
5/25/2020,1994.6
5/26/2020,2029.78
5/27/2020,2031.2
5/28/2020,2028.54
5/29/2020,2029.6
6/1/2020,2065.08
6/2/2020,2087.19
6/3/2020,2147
6/4/2020,2151.18
6/5/2020,2181.87
6/8/2020,2184.29
6/9/2020,2188.92
6/10/2020,2195.69
6/11/2020,2176.78
6/12/2020,2132.3
6/15/2020,2030.82
6/16/2020,2138.05
6/17/2020,2141.05
6/18/2020,2133.48
6/19/2020,2141.32
6/22/2020,2126.73
6/23/2020,2131.24
6/24/2020,2161.51
6/25/2020,2112.37
6/26/2020,2134.65
6/29/2020,2093.48
6/30/2020,2108.33
7/1/2020,2106.7
7/2/2020,2135.37
7/3/2020,2152.41
7/6/2020,2187.93
7/7/2020,2164.17
7/8/2020,2158.88
7/9/2020,2167.9
7/10/2020,2150.25
