No.,Date,H,S
1,2021-08-06,0,0
2,2021-08-24,0.62,7.936
3,2021-08-27,0.62,10.788
4,2021-08-31,0.62,11.532
5,2021-09-03,0.62,11.78
6,2021-09-07,0.868,11.78
7,2021-09-10,0.868,11.78
8,2021-09-14,1.364,11.78
9,2021-09-17,1.364,11.78
10,2021-09-21,1.364,12.028
11,2021-09-24,1.364,12.524
12,2021-10-05,1.736,13.268
13,2021-10-08,2.108,13.516
14,2021-10-12,2.108,14.012
15,2021-10-15,2.48,20.336
16,2021-10-19,2.852,26.536
17,2021-10-22,3.224,29.388
18,2021-10-26,3.348,31.496
19,2021-10-29,3.348,32.612
20,2021-11-03,3.348,36.332
21,2021-11-06,3.348,38.068
22,2021-11-10,3.348,38.068
23,2021-11-12,3.348,38.44
24,2021-11-20,3.348,38.936
25,2021-11-27,3.348,39.68
26,2021-12-04,3.596,41.168
27,2021-12-08,3.596,41.168
28,2021-12-11,3.596,41.54
29,2021-12-15,3.596,41.54
30,2021-12-18,3.596,41.788
31,2021-12-23,4.216,42.284
32,2021-12-29,4.216,43.152
33,2021-12-31,4.216,43.4
34,2022-01-06,4.216,44.268
35,2022-01-08,4.216,44.764
36,2022-01-11,4.216,45.136
37,2022-01-15,4.216,45.88
38,2022-01-18,4.216,46.376
39,2022-01-22,4.216,46.996
40,2022-01-26,4.216,47.616
41,2022-01-29,4.216,48.236
42,2022-02-01,4.216,48.608
43,2022-02-04,4.216,48.856
44,2022-02-16,4.216,49.848
45,2022-02-19,4.216,50.22
46,2022-02-23,4.216,50.468
47,2022-02-26,4.216,50.716
48,2022-03-04,4.216,51.212
49,2022-03-11,4.216,51.584
50,2022-03-15,4.216,51.832
51,2022-03-18,4.216,51.956
52,2022-03-25,4.216,52.204
53,2022-03-31,4.216,52.328
54,2022-04-07,4.216,52.452
55,2022-04-15,4.216,52.576
56,2022-04-22,4.216,52.7
57,2022-04-29,4.216,52.824
58,2022-05-04,4.216,52.948
59,2022-05-13,4.216,53.072
60,2022-05-17,4.216,53.072
61,2022-05-20,4.216,53.072
62,2022-05-23,4.216,53.072
63,2022-05-27,4.216,53.072
64,2022-05-30,4.216,53.072
